,BAU,CT,R&D
208,1.0338115858,1.0648200021,1.0205097382
209,1.0336719847,1.0650731989,1.0215142629
210,1.0342110538,1.066303116,1.0220610751
211,1.0339978987,1.0668342565,1.0220170989
212,1.0337763093,1.067430101,1.0225140455
213,1.0335168897,1.068222312,1.0228880023
214,1.0338910802,1.0683230027,1.0223093996
215,1.0345689094,1.0696873035,1.0227493866
216,1.0345944869,1.0691624041,1.0235575333
217,1.0360650383,1.069365448,1.0218767184
218,1.0368205709,1.0724661871,1.025628565
219,1.0361519225,1.0713884522,1.0223801805
220,1.0369062063,1.0708651221,1.0238111836
221,1.0358476376,1.071724109,1.0235182715
222,1.036495478,1.0730944829,1.0238943289
223,1.0358155595,1.0728690136,1.0236008438
224,1.0365784619,1.072907474,1.0250029715
225,1.0368198558,1.0734195805,1.0246268834
226,1.0371695292,1.0737218351,1.0254309733
227,1.0369789709,1.0741086334,1.0250908054
228,1.0362303018,1.0737136874,1.0262287567
229,1.0376596549,1.0749778454,1.0254708718
230,1.0392266058,1.0773887019,1.0270989881
231,1.0385042203,1.077125453,1.0253036773
232,1.0387850773,1.0757990057,1.0275953206
233,1.03917077,1.0761711295,1.0269773933
234,1.0404138559,1.0767796282,1.0272349944
235,1.0406549973,1.0785345219,1.0272240213
