,BAU,CT,R&D
265,1.2268751186,1.2056908413,1.1984642719
266,1.2490821961,1.2304621306,1.200013796
267,1.225913537,1.2038748628,1.1900437562
268,1.2384069998,1.2369775738,1.1862404765
269,1.2309503236,1.2044102183,1.2015968563
270,1.233284187,1.2172436713,1.1991533836
271,1.2282316384,1.2139023167,1.1924628124
272,1.2359339182,1.2144406909,1.186301802
273,1.2295607018,1.2242311625,1.1879482278
274,1.2344907669,1.2117429424,1.2076710602
275,1.227146025,1.2143498628,1.1835741282
276,1.2364448555,1.2113427569,1.1911547811
277,1.2118094676,1.1997091464,1.1656661595
278,1.2370431629,1.2227628436,1.2038142887
279,1.2151622935,1.1943079935,1.1556603288
280,1.2147788812,1.2023831445,1.1776874883
281,1.2362981953,1.210547511,1.1717036421
282,1.2151222492,1.2048027521,1.1792992916
283,1.2182452281,1.2003627753,1.1732140654
284,1.2191789794,1.2074462212,1.1716090488
285,1.2189402511,1.2002752603,1.1719914836
286,1.2174057651,1.200932785,1.1695165813
287,1.2205999776,1.2024569609,1.1740933633
288,1.2204971475,1.2035045763,1.17287825
289,1.1887275346,1.1758093077,1.1570634826
290,1.2336933175,1.2004465348,1.1599862863
291,1.1859321106,1.2002996451,1.1573036911
292,1.2224940501,1.1877131581,1.1615756309
293,1.2008536117,1.1887597767,1.1676353296
294,1.21381125,1.1919057774,1.1631577497
295,1.1999574079,1.1941388855,1.1600600729
296,1.2159548969,1.1844920663,1.1573361261
297,1.1980284347,1.2112605512,1.1532404016
298,1.2062543665,1.1804747582,1.16771628
299,1.2041950506,1.1974032953,1.1566704483
300,1.2214653226,1.1789804129,1.1586286732
